name,price,location,reviews,link,date
Asus TUF FX505GT-I565B6T|i5-9300H|GTX 1650 ROG Boost|8GB|512GB|Win 10,11.899.000,Jakarta Timur, 1,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEoprhHs1pHpyDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstpbm-7q3OBUsthosnOop1RHpK7bm-srcHi6seFHmFiy3zwrfo5rM1i6sJ7H_rXoAHaHZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo8_zd_920P7O1__C6uJjO_uzzH7Y1gpC-q9P23_oZ8uKp_Mhg3J2ky1o-ojBkgRuvzcr7_7zSoJYJgpzvzcr7_7z0q1hAZS-q3cFpysoGqOKp_M2iH72DZ325q1OAZ9o-Q_ufyMO6QJBkQfBo8BJa3BzjQ1Y919zvucxk3MjFHJOkuMWHu7ja33OgPVBkgcW6zOgk_jzVH7YJqpo-q9P2ysoGrVtaQIuyHB-Dy7yNrV2AZ_g-qjV2_JoGPMoWQcNxupuMy7xGPB2UuM2jzsBF3jo-ojBke3BHe72fyfODQMV9o3gsHMxfy7yNrV2AZ_g-qjV2_JoG8cz9uSBBusjF3uPj8jBkQfBizJgpysoj6cgIPRBy8j77_jzj6cgc_jgZHAVcuchZgB-uo1x983ztypo38jBU1sVqq3zjgjxduV-ugJNZu_uu3ACD_O-crfNg3JdhyRBmHcz933Ny3IKdy_o6QVtp8AxsHO-7Z3BRq3Ha_SgsQugM33NGPMep_Mh-qMY2_32So1hk19BoucoR_uzsH7O13_zouJO2_JoG8Bja69BqusBE3BPc8ujagfBvq1BN_7zoP1NJgp-6zJ1F_1zVoJOEqpV6qBV2gBJYvZUDUSupg9-wq3ei6iUFUiFirfuprfB5QBY2gmUEUMPJq7opqVPxuj-eH1KdQpCBrpjayMNhquxFQZOuPceOQJzfHMxBrRuIZJKOo1NIo3PaP_oMZ9PRuJUNzVYoQMzd8IC6r9VdQcWJ1_xwzIu1e3PbuR-JPO-AQjYauuKpb3-m6c25Z3oq31OHZV26H_z9ujYe_SxgHAVkHSP6_fVjUiFiy3hSUstirRzW9fWpg3PwQA-wQAJibm-XP3Oig9-wQfgwy3zpUsthoZFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAHdoArDoAnF6V7DUMNwyfVXgcBjy9zB9fVjraUEH_1DUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUst7opJhoiFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpK7oa-Pwe?src=search&keywords=asus+tuf&ob=23&dv=desktop&t=desktop&page=3&management_type=1&is_search=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fxtalecomputer%2Fasus-tuf-fx505gt-i565b6t-i5-9300h-gtx-1650-rog-boost-8gb-512gb-win-10%3Fsrc%3Dtopads,19-11-2020
ASUS TUF GAMING F15 FX506LH i7 10750 8GB 512ssd GTX1650 4GB W10 144Hz - Abu-abu,15.199.000,Jakarta Utara, 3,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEoprhHpyFo_eDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUst7bm-7q3OBUsthosnOop1RHpK7bm-srcHi6seFHmFiy3zwrfo5rM1i6sJ7H_eX6AjFoaFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z_oHqBVR_S2zP7NE19P68BVR_S2zP7Nk33BHe72a3BxDHfUpZMWyH7NkysoGQJBkQfBoe7BpZ37OPM-W_Mh-qMY2_92zHB21gcOvuOV7_OztqB22HACoqBg0_VP-HBBW39zgqMz0_jP3qjNJz_ovzcDpZ3BRq3UpZSCqHMhO3A-ZQcoc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMoUZSgqZVgkgJyNrV2AZ_g-qjV2_JoGPMoWQcNxupuMyp-tPMoc69Cqe7jfZ32Cq1hAZSxjuOgNguyNHVB9gI2-qMY2yjzcrfUpgAxMzRPN3I2ooJNJgAxMzjNc1snhzBzD1MgZu_uUuRBjqcHpuS2-ZVUh3MBjgcgU8VzZu3z61B1OuuKFQJYZzSoX3ux6H3oNesCjuOBX3Vxd6cJp_MhqHRKdypoZPJB2PfBsHjNfyfO3gBBXZSgjH7NDZ325q1OkypCHqjBN_7zz8jOJypV6qBVN_7zSH1B2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1OkgRBHqMDp_7zVHJOku_o6zJ7p_1zSH1BXHA7ibm-Orfua9fBjUstiHmUDUSoBrRo2QfNwq3ei6i-SzcWArfx9yugm1AVU6c4Fg9HNHM-Xr3Byrc7Wu9zjo3hJPs-tg9oOz7xUo_u6zpuSrS1pgjBRPOzm61zw_3Nj8IxF_SVh8ch0zVJd97zOuJVSZOPazIPZefNvrBuyHaOiesxkQ7Bs3BBo_Jxq_sJ7uOgv1JNd3_nhqs-R_jYxgmUDUMVDgaUEUSo7QuY0rfuS9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEH_1DUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pUNoaFp6AeRbAeFHAxPbm-X9foxQMz2gcV7guYxgIHi6sJObm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEoArhH_yDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsHdoAri997?r=https%3A%2F%2Fwww.tokopedia.com%2Ftoptech%2Fasus-tuf-gaming-f15-fx506lh-i7-10750-8gb-512ssd-gtx1650-4gb-w10-144hz-abu-abu%3Fsrc%3Dtopads&keywords=asus+tuf&ob=23&t=desktop&src=search&management_type=1&dv=desktop&is_search=1&page=3,19-11-2020
ASUS TUF Gaming A15 FX506II Ryzen 5 4600H 512GB GTX1650Ti 4GB 144Hz - BLACK,13.449.000,Jakarta Utara, 4,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEop1NopKR6_KDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstObm-7q3OBUsthosnOop1RHpK7bm-srcHi6sHOHmFiy3zwrfo5rM1i6sJp6_rXHpyRoiFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z_-HqjON_OzV8JOEqRB6zJJh_1zg8jONZ9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9P-q9P2yM7NPujau3Bvq1BE_jzqQJda3_uqepnO_7P6Q1h119B6uOV7332qqu22H3B6HBJF3BPoHJO1ypzvuco2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq12p_uPdPMep8AxizJ2M_92SHJdp8AxuHVgUuVu3_Ogc61g1qfziZs-c8Mzy_3PjZVgWZsJh6cgc_jgZHAVcuchZgBouo1u983ztypo38jBU1sVqq3zjgjxdrMHauMNMZIxEgJrFq1hAZS2gHsBN3ByNq3oW6_osHBu2_fB-81N1qRuoqMDp_1z0HJO1e92vzcHh_3B-r7BX_M2iH72D3Ao6QVByZM2xe7jfZ32-H7Y_oAC68j7h_1zS8JOJe9x68jJ7Z3dFvZUDUSupg9-wq3ei6iUFUiFirfuprfB5QBY2gmUEUMPJq7opqVPxuj-eH1KdQpCBrpjayMNhquxFQZOuPceOQJzfHMxBrRuIZJKOo1NIo3PaP_oMZ9PRuJUNzVYoQMzd8IC6r9VdQcWJ1_xwzIu1e3PbuR-JPO-AQjYauuKpb3-m6c25Z3oq31OHZV26H_z9ujYe_SxgHAVkHSP6_fVjUiFiy3hSUstirRzW9fWpg3PwQA-wQAJibm-XP3Oig9-wQfgwy3zpUsthoZFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAHdoArDoAnF6V7DUMNwyfVXgcBjy9zB9fVjraUEH_1DUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUsta6AHfHiFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpK7oa-Pwe?management_type=1&t=desktop&ob=23&r=https%3A%2F%2Fwww.tokopedia.com%2Fgateway%2Fasus-tuf-gaming-a15-fx506ii-ryzen-5-4600h-512gb-gtx1650ti-4gb-144hz-black%3Fsrc%3Dtopads&src=search&is_search=1&dv=desktop&keywords=asus+tuf&page=3,19-11-2020
ASUS TUF GAMING F15 FX506LH i7-10700H 8GB 512GB GTX1650 4GB W10 144HZ,15.249.000,Jakarta Barat, 2,https://www.tokopedia.com/spacetech/asus-tuf-gaming-f15-fx506lh-i7-10700h-8gb-512gb-gtx1650-4gb-w10-144hz-i765b6t-grey?whid=0,19-11-2020
ASUS TUF A15 FX506IU-R766B7T - R7-4800H 8GB 1TB+256SSD GTX1660Ti 6GB,16.649.000,Jakarta Barat, 3,https://www.tokopedia.com/spacetech/asus-tuf-a15-fx506iu-r766b7t-r7-4800h-8gb-1tb-256ssd-gtx1660ti-6gb?whid=0,19-11-2020
ASUS TUF FX505GT-I565B6T i5-9300H 8GB 512GB GTX1650 4GB WIN10 144Hz,11.699.999,Jakarta Pusat, 1,https://www.tokopedia.com/iscomraplaz/asus-tuf-fx505gt-i565b6t-i5-9300h-8gb-512gb-gtx1650-4gb-win10-144hz?whid=0,19-11-2020
Asus TUF Gaming FX505DY Ryzen 5-3550H 8GB 256ssd RX560X 4GB Win10,10.699.000,Jakarta Pusat, 1,https://www.tokopedia.com/haercom/asus-tuf-gaming-fx505dy-ryzen-5-3550h-8gb-256ssd-rx560x-4gb-win10?whid=0,19-11-2020
Laptop Asus Tuf Gaming FX506IH-R565B6T R5-4600 8GB 512GB GTX1650 W10,13.299.000,Makassar, 1,https://www.tokopedia.com/smartmediacom/laptop-asus-tuf-gaming-fx506ih-r565b6t-r5-4600-8gb-512gb-gtx1650-w10?whid=0,19-11-2020
ASUS TUF Gaming A15 FX506II-R55TB6T Ryzen 5-4600H 8GB 512GB GTX1650Ti,13.899.000,Jakarta Pusat, 1,https://www.tokopedia.com/virtualtech9/asus-tuf-gaming-a15-fx506ii-r55tb6t-ryzen-5-4600h-8gb-512gb-gtx1650ti?whid=0,19-11-2020
Asus TUF FX705DU Ryzen 7 3750 16GB 1TB+256ssd GTX1660Ti W10,13.999.000,Jakarta Utara, 1,https://www.tokopedia.com/mimomart/asus-tuf-fx705du-ryzen-7-3750-16gb-1tb-256ssd-gtx1660ti-w10?whid=0,19-11-2020
ASUS TUF Gaming A15 FX506IU R7-4800H 8GB 256+1TB GTX1660TI 6GB 144Hz,16.059.000,Jakarta Pusat, 7,https://www.tokopedia.com/collinsofficial/asus-tuf-gaming-a15-fx506iu-r7-4800h-8gb-256-1tb-gtx1660ti-6gb-144hz?whid=0,19-11-2020
Asus TUF FX505DT Ryzen 7 3750 8GB 1TB+256ssd GTX1650 4GB W10 15.6FHD,12.099.000,Jakarta Utara, 1,https://www.tokopedia.com/mimomart/asus-tuf-fx505dt-ryzen-7-3750-8gb-1tb-256ssd-gtx1650-4gb-w10-15-6fhd?whid=0,19-11-2020
ASUS TUF A15 FX506IH-R565B6T RYZEN 5 4600H 8GB 512GB GTX1650 4GB W10,12.968.000,Banjarmasin, 1,https://www.tokopedia.com/mscombjm/asus-tuf-a15-fx506ih-r565b6t-ryzen-5-4600h-8gb-512gb-gtx1650-4gb-w10?whid=0,19-11-2020
"ASUS TUF FX506IH-R565B6B R5 4600 8GB 512SSD GTX1650 4GB 15"" IPS 144Hz",12.650.000,Jakarta Barat, 3,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEopHfH_eRHpnDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUsthbm-7q3OBUsthosnOop1RHpjabm-srcHi6seFHmFiy3zwrfo5rM1i6sJ7opUXoAJh6ZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfB6e7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9xo1pzE_92o8jOE_92o8jOE_92o8jOEZ3BHe72a3BxDHfUpZMWyH7NkysoGQJBkQfBoe7BpZ37OPM-W_Mh-qMY2_OzV8JOkuMxvzVV73M2jqB2AHACoHB2t_VzDQ1OJgRzg8Mhk_Bzs8BBE3_ogucoNZ3BRq3UpZSCqHMhO3A-ZQcoc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMoUZSgqZVgkgJyNrV2AZ_g-qjV2_JoGPMoWQcNxupuMyp-tPMoc69Cqe7jfZ32Cq1hAZSxjuOgNguyNHVB9gI2-qMY2yjzcrfUpgAxMzRPN3I2ooJNJgAxMzjNc1snhzBzD1MgZu_uUuRBjqcHpuS2-ZVUh3MBjgcgU8VzZu3z61B1OuuKFQJYZzSoX3ux6H3oNesCjuOBX3Vxd6cJp_MhqHRKdypoZPJB2PfBsHjNfyfO3gBBXZSgjH7NDZ325q1OkqpVHqMHp_BzSHJY1u9xvzJBd_320HjB2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1OkqpCHqBJ7_32oH7OEu926ucDO_1zzq3gzv_7ibm-Orfua9fBjUstiHmUDUSoBrRo2QfNwq3ei6i-SzcWArfx9yugm1AVU6c4Fg9HNHM-Xr3Byrc7Wu9zjo3hJPs-tg9oOz7xUo_u6zpuSrS1pgjBRPOzm61zw_3Nj8IxF_SVh8ch0zVJd97zOuJVSZOPazIPZefNvrBuyHaOiesxkQ7Bs3BBo_Jxq_sJ7uOgv1JNd3_nhqs-R_jYxgmUDUMVDgaUEUSo7QuY0rfuS9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEH_HDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pUNoaFp6AeRbAeFHAxPbm-X9foxQMz2gcV7guYxgIHi6sJpbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHs1fHpHDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsHdoAri997?page=4&r=https%3A%2F%2Fwww.tokopedia.com%2Fterminallaptop%2Fasus-tuf-fx506ih-r565b6b-r5-4600-8gb-512ssd-gtx1650-4gb-15-ips-144hz%3Fsrc%3Dtopads&ob=23&management_type=2&t=desktop&keywords=asus+tuf&dv=desktop&src=search&is_search=1,19-11-2020
Asus TUF FX505GT-I565A6T i5 9300H 8GB 512ssd GTX1650 W10 15.6FHD SLIM,11.899.000,Jakarta Utara, 5,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEopyNHs1NosrDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstabm-7q3OBUsthosnOop1RHpjabm-srcHi6sHOHmFiy3zwrfo5rM1i6sJ7oAeXoAjdoZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9P-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjV2_JoGP3Uao32q17jfZ3208JO1Z_VgucrF_VPgHOja19z6zJNW3uHFou2ke_zHu77O392uH77a__-6Hj1p_3B-r7BW69BxufzFyMFNqO2yeMgxuOV2_fB-P7B2PfBiH72F3s-DPuKpeSBiHBUh3_oZgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Ao6QfUpeMgxuOV2_fB-P7B2PfBs3VgDyfNDgMzIzMNs81jfZ3OR8c-I6_oMZIxp_3Fd8jYJ1_oMZIx11Buj_B-uouuyHVgv1sVpQBBy_sVs81UFgVPgQBxy8AxuHVgUuVu3_Ogc6121qO-iZs-c8Mzy_3PjZVgWZsJh6cgIPI2qufedgjx6Hc-_Z9o-QjNkysoGQVKaZSBiHfzE3Bo-ojBkZ_oo8_zR_32gHjOEypu6uV1O_1zo81N_Z9o-QjNkysoGQVKp_Mhg3J2ky1o-ojBkZ_zvepe7_Oz0H7O11_z68jJh_M2-o1N_Zsjibm-Orfua9fBjUstiHmUDUSoBrRo2QfNwq3ei6i-SzcWArfx9yugm1AVU6c4Fg9HNHM-Xr3Byrc7Wu9zjo3hJPs-tg9oOz7xUo_u6zpuSrS1pgjBRPOzm61zw_3Nj8IxF_SVh8ch0zVJd97zOuJVSZOPazIPZefNvrBuyHaOiesxkQ7Bs3BBo_Jxq_sJ7uOgv1JNd3_nhqs-R_jYxgmUDUMVDgaUEUSo7QuY0rfuS9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEH_HDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pUNoaFp6AeRbAeFHAxPbm-X9foxQMz2gcV7guYxgIHi6sJpbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEoArhH_yDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsHdoAri997?t=desktop&src=search&page=4&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fmimomart%2Fasus-tuf-fx505gt-i565a6t-i5-9300h-8gb-512ssd-gtx1650-w10-15-6fhd-slim%3Fsrc%3Dtopads&is_search=1&keywords=asus+tuf&ob=23&management_type=1,19-11-2020
Asus TUF FX505GT-I565B6T|i5-9300H|GTX 1650 ROG Boost|8GB|512GB|Win 10,11.899.000,Jakarta Timur, 1,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEoprhHs1pHpyDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstpbm-7q3OBUsthosnOop1RHpjabm-srcHi6seFHmFiy3zwrfo5rM1i6sJ7H_rXoAHaHZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo8_zd_920P7O1__C6uJjO_uzzH7Y1gpC-q9P23_oZ8uKp_Mhg3J2ky1o-ojBkgRuvzcr7_7zSoJYJgpzvzcr7_7z0q1hAZS-q3cFpysoGqOKp_M2iH72DZ325q1OAZ9o-Q_ufyMO6QJBkQfBvuJud_323qJYJ19zqqMzk3jHFHJ7a3MxHuchW_1zSPVBEQc26ucoE392gHOB1yRB-q9P2ysoGrVtaQIuyHB-Dy7yNrV2AZ_g-qjV2_JoGPMoWQcNxupuMy7xGPB2UuM2jzsBF3jo-ojBke3BHe72fyfODQMV9o3gsHMxfy7yNrV2AZ_g-qjV2_JoG8cz9uSBBusjF3uPj8jBkQfBizJgpysoj6cgIPRBy8j77_jzj6cgc_jgZHAVcuchZgB-uo1x983ztypo38jBU1sVqq3zjgjxduV-ugJNZu_uu3ACD_O-crfNg3JdhyRBmHcz933Ny3IKdy_o6QVtp8AxsHO-7Z3BRq3Ha_SgsQugM33NGPMep_Mh-qMY2_32So1hk19BoucoR_uzsH7O13_zouJO2_JoG8Bja69BqusBE3BPc8ujagfBvq1BN_7zoP1NJgp-6zJ1F_1zVoJOEqpV6qBV2gBJYvZUDUSupg9-wq3ei6iUFUiFirfuprfB5QBY2gmUEUMPJq7opqVPxuj-eH1KdQpCBrpjayMNhquxFQZOuPceOQJzfHMxBrRuIZJKOo1NIo3PaP_oMZ9PRuJUNzVYoQMzd8IC6r9VdQcWJ1_xwzIu1e3PbuR-JPO-AQjYauuKpb3-m6c25Z3oq31OHZV26H_z9ujYe_SxgHAVkHSP6_fVjUiFiy3hSUstirRzW9fWpg3PwQA-wQAJibm-XP3Oig9-wQfgwy3zpUsthHaFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAHdoArDoAnF6V7DUMNwyfVXgcBjy9zB9fVjraUEH_HDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUst7opJhoiFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpK7oa-Pwe?page=4&dv=desktop&keywords=asus+tuf&ob=23&r=https%3A%2F%2Fwww.tokopedia.com%2Fxtalecomputer%2Fasus-tuf-fx505gt-i565b6t-i5-9300h-gtx-1650-rog-boost-8gb-512gb-win-10%3Fsrc%3Dtopads&t=desktop&src=search&is_search=1&management_type=1,19-11-2020
ASUS TUF GAMING F15 FX506LH i7 10750 8GB 512ssd GTX1650 4GB W10 144Hz - Abu-abu,15.199.000,Jakarta Utara, 3,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEoprhHpyFo_eDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUst7bm-7q3OBUsthosnOop1RHpjabm-srcHi6seFHmFiy3zwrfo5rM1i6sJ7H_eX6AjFoaFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z_oHqBVR_S2zP7NE19P68BVR_S2zP7Nk33BHe72a3BxDHfUpZMWyH7NkysoGQJBkQfBoe7BpZ37OPM-W_Mh-qMY2_OzV8JOkuMxvzVV73M2jqB2AHACoHB2t_VzDQ1OJgRzg8Mhk_Bzs8BBE3_ogucoNZ3BRq3UpZSCqHMhO3A-ZQcoc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMoUZSgqZVgkgJyNrV2AZ_g-qjV2_JoGPMoWQcNxupuMyp-tPMoc69Cqe7jfZ32Cq1hAZSxjuOgNguyNHVB9gI2-qMY2yjzcrfUpgAxMzRPN3I2ooJNJgAxMzjNc1snhzBzD1MgZu_uUuRBjqcHpuS2-ZVUh3MBjgcgU8VzZu3z61B1OuuKFQJYZzSoX3ux6H3oNesCjuOBX3Vxd6cJp_MhqHRKdypoZPJB2PfBsHjNfyfO3gBBXZSgjH7NDZ325q1OkypCHqjBN_7zz8jOJypV6qBVN_7zSH1B2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1OkgRBHqMDp_7zVHJOku_o6zJ7p_1zSH1BXHA7ibm-Orfua9fBjUstiHmUDUSoBrRo2QfNwq3ei6i-SzcWArfx9yugm1AVU6c4Fg9HNHM-Xr3Byrc7Wu9zjo3hJPs-tg9oOz7xUo_u6zpuSrS1pgjBRPOzm61zw_3Nj8IxF_SVh8ch0zVJd97zOuJVSZOPazIPZefNvrBuyHaOiesxkQ7Bs3BBo_Jxq_sJ7uOgv1JNd3_nhqs-R_jYxgmUDUMVDgaUEUSo7QuY0rfuS9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEH_HDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pUNoaFp6AeRbAeFHAxPbm-X9foxQMz2gcV7guYxgIHi6sJpbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEoArhH_yDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsHdoAri997?page=4&r=https%3A%2F%2Fwww.tokopedia.com%2Ftoptech%2Fasus-tuf-gaming-f15-fx506lh-i7-10750-8gb-512ssd-gtx1650-4gb-w10-144hz-abu-abu%3Fsrc%3Dtopads&is_search=1&dv=desktop&src=search&t=desktop&management_type=1&ob=23&keywords=asus+tuf,19-11-2020
ASUS TUF Gaming A15 FX506II Ryzen 5 4600H 512GB GTX1650Ti 4GB 144Hz - BLACK,13.449.000,Jakarta Utara, 4,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEop1NopKR6_KDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstObm-7q3OBUsthosnOop1RHpjabm-srcHi6sHOHmFiy3zwrfo5rM1i6sJp6_rXHpyRoiFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z_-HqjON_OzV8JOEqRB6zJJh_1zg8jONZ9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9P-q9P2yM7NPujau3Bvq1jO_uzV81N9z_z6epVW_s-6q7h1192qQ1u7_OPgP7YAH32vu77h_S26qjNkgcx68jB2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq12p_uPdPMep8AxizJ2M_92SHJdp8AxuHVgUuVu3_Ogc61g1qfziZs-c8Mzy_3PjZVgWZsJh6cgc_jgZHAVcuchZgBouo1u983ztypo38jBU1sVqq3zjgjxdrMHauMNMZIxEgJrFq1hAZS2gHsBN3ByNq3oW6_osHBu2_fB-81N1qRuoqMDp_1z0HJO1e92vzcHh_3B-r7BX_M2iH72D3Ao6QVByZM2xe7jfZ32-H7Y_oAC68j7h_1zS8JOJe9x68jJ7Z3dFvZUDUSupg9-wq3ei6iUFUiFirfuprfB5QBY2gmUEUMPJq7opqVPxuj-eH1KdQpCBrpjayMNhquxFQZOuPceOQJzfHMxBrRuIZJKOo1NIo3PaP_oMZ9PRuJUNzVYoQMzd8IC6r9VdQcWJ1_xwzIu1e3PbuR-JPO-AQjYauuKpb3-m6c25Z3oq31OHZV26H_z9ujYe_SxgHAVkHSP6_fVjUiFiy3hSUstirRzW9fWpg3PwQA-wQAJibm-XP3Oig9-wQfgwy3zpUsthHaFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAHdoArDoAnF6V7DUMNwyfVXgcBjy9zB9fVjraUEH_HDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUsta6AHfHiFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpK7oa-Pwe?management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fgateway%2Fasus-tuf-gaming-a15-fx506ii-ryzen-5-4600h-512gb-gtx1650ti-4gb-144hz-black%3Fsrc%3Dtopads&keywords=asus+tuf&src=search&page=4&ob=23&t=desktop&dv=desktop&is_search=1,19-11-2020
ASUS TUF GAMING A15 FX506II RYZEN 5 4600H 8GB 512GB GTX1650Ti 4GB W10,13.989.000,Jakarta Pusat, 3,https://www.tokopedia.com/asusbysatuc/asus-tuf-gaming-a15-fx506ii-ryzen-5-4600h-8gb-512gb-gtx1650ti-4gb-w10?whid=0,19-11-2020
ASUS TUF FX505GT,11.950.000,Surabaya, 1,https://www.tokopedia.com/permatakomputert/asus-tuf-fx505gt?whid=0,19-11-2020
ASUS TUF Gaming A15 FX506IU Ryzen 7 4800H |1TB+256 SSD|GTX1660Ti 144Hz,17.799.000,Jakarta Pusat, 2,https://www.tokopedia.com/kbm24store/asus-tuf-gaming-a15-fx506iu-ryzen-7-4800h-1tb-256-ssd-gtx1660ti-144hz?whid=0,19-11-2020
"Asus TUF FX705DY Ryzen 5-3550H 8GB 512GB Radeon RX560 4GB Win10 17,3",10.999.000,Jakarta Pusat, 1,https://www.tokopedia.com/jekardah/asus-tuf-fx705dy-ryzen-5-3550h-8gb-512gb-radeon-rx560-4gb-win10-17-3?whid=0,19-11-2020
